competencia_id,deporte,evento,genero_evento
733,Shooting,"Shooting Men's Trap, Double Shot, 14 metres",Masculino
734,Equestrianism,Equestrianism Mixed Long Jump,Mixto/Open
735,Canoeing,"Canoeing Men's Folding Kayak Singles, 10 kilometres",Masculino
736,Shooting,"Shooting Men's Free Pistol, 30 metres",Masculino
737,Shooting,"Shooting Men's Military Pistol, 25 metres",Masculino
738,Swimming,Swimming Men's 100 metres Freestyle For Sailors,Masculino
739,Archery,Archery Men's Sur La Perche a La Herse,Masculino
740,Sailing,Sailing Mixed 3-10 Ton,Mixto/Open
741,Gymnastics,"Gymnastics Men's Individual All-Around, 4 Events",Masculino
742,Wrestling,"Wrestling Men's Unlimited Class, Greco-Roman",Masculino
743,Motorboating,Motorboating Mixed B-Class (Under 60 Feet),Mixto/Open
744,Motorboating,Motorboating Mixed C-Class,Mixto/Open
745,Cycling,"Cycling Men's 10,000 metres",Masculino
746,Art Competitions,"Art Competitions Mixed Sculpturing, Reliefs",Mixto/Open
747,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",Masculino
748,Equestrianism,Equestrianism Mixed High Jump,Mixto/Open
749,Archery,Archery Men's Sur La Perche a La Pyramide,Masculino
750,Fencing,"Fencing Men's Single Sticks, Individual",Masculino
751,Gymnastics,Gymnastics Men's Tumbling,Masculino
752,Shooting,Shooting Men's Unknown Event,Masculino
753,Sailing,Sailing Mixed 18 foot,Mixto/Open
754,Archery,Archery Men's Unknown Event,Masculino
755,Archery,"Archery Men's Au Chapelet, 50 metres",Masculino
756,Archery,Archery Men's Championnat Du Monde,Masculino
757,Archery,Archery Women's Team Round,Femenino
758,Wrestling,"Wrestling Men's All-Around, Greco-Roman",Masculino
759,Cycling,Cycling Men's 12-Hours Race,Masculino
760,Swimming,Swimming Men's 500 metres Freestyle,Masculino
761,Weightlifting,Weightlifting Men's All-Around Dumbbell Contest,Masculino
762,Archery,"Archery Men's Au Chapelet, 33 metres",Masculino
763,Archery,"Archery Men's Au Cordon Dore, 33 metres",Masculino
764,Archery,"Archery Men's Target Archery, 28 metres, Individual",Masculino
765,Aeronautics,Aeronautics Mixed Aeronautics,Mixto/Open
